Type,Municipality,NearStation,Price,FloorPlan,Area,LandShape,Frontage,BuildingYear,Structure,Use,Direction,Renovation
Residential Land(Land and Building),Chiyoda Ward,3.0,68000000,1K,35,Rectangular Shaped,4.2,1970.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,1200000000,1K,200,Semi-rectangular Shaped,13.2,1985.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,93000000,1K,65,Semi-trapezoidal Shaped,6.3,1961.0,W,Warehouse,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,740000000,1K,100,Rectangular Shaped,10.0,1987.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,120000000,1K,75,Semi-rectangular Shaped,6.0,1963.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,40000000,1K,55,Semi-rectangular Shaped,4.6,1985.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,260000000,1K,80,Rectangular Shaped,6.3,1987.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,46000000,1K,35,Trapezoidal Shaped,5.0,1966.0,S,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,210000000,1K,200,Irregular Shaped,10.0,1973.0,RC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,330000000,1K,210,Irregular Shaped,9.0,1978.0,S,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,200000000,1K,155,Semi-rectangular Shaped,7.0,1974.0,S,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,170000000,1K,105,Rectangular Shaped,6.0,1951.0,W,Warehouse,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,410000000,1K,120,Semi-rectangular Shaped,19.0,1985.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,370000000,1K,160,Semi-rectangular Shaped,10.0,1969.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,480000000,1K,125,Semi-rectangular Shaped,7.5,1984.0,RC,Other,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,130000000,1K,75,Rectangular Shaped,7.1,1970.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,540000000,1K,180,Irregular Shaped,13.0,1990.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,64000000,1K,75,Rectangular Shaped,6.8,1970.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,190000000,1K,165,Irregular Shaped,10.5,1983.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,330000000,1K,150,Rectangular Shaped,9.0,1972.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,410000000,1K,230,Rectangular Shaped,13.5,1984.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,410000000,1K,125,Semi-rectangular Shaped,14.6,1991.0,SRC,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,600000000,1K,165,Semi-rectangular Shaped,8.5,1992.0,RC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,180000000,1K,50,Semi-rectangular Shaped,5.0,1973.0,RC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,300000000,1K,75,Semi-rectangular Shaped,8.0,1975.0,RC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,150000000,1K,85,Semi-rectangular Shaped,8.0,1960.0,RC,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,170000000,1K,95,Semi-rectangular Shaped,8.5,1970.0,RC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,140000000,1K,75,Semi-rectangular Shaped,7.5,1975.0,RC,House,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,230000000,1K,90,Rectangular Shaped,7.5,1977.0,RC,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,1000000000,1K,220,Semi-rectangular Shaped,8.0,1993.0,RC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,360000000,1K,105,Rectangular Shaped,13.0,1972.0,RC,House,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,2900000000,1K,480,Semi-rectangular Shaped,16.0,1960.0,SRC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,990000000,1K,145,Rectangular Shaped,9.5,1981.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,110000000,1K,45,Semi-shaped,12.0,1968.0,S,House,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,330000000,1K,195,Rectangular Shaped,8.0,1970.0,RC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,200000000,1K,60,Semi-rectangular Shaped,8.5,1973.0,SRC,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,1000000000,1K,190,Semi-rectangular Shaped,11.5,2000.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,110000000,1K,45,Semi-rectangular Shaped,5.0,1978.0,RC,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,260000000,1K,120,Irregular Shaped,15.6,1970.0,RC,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,150000000,1K,70,Semi-rectangular Shaped,10.8,1975.0,RC,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,320000000,1K,130,Rectangular Shaped,7.5,1984.0,RC,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,160000000,1K,85,Semi-trapezoidal Shaped,12.0,1975.0,RC,House,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,30000000,1K,40,Rectangular Shaped,4.6,1988.0,W,Shop,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,17000000,1K,30,Rectangular Shaped,4.3,1968.0,S,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,160000000,1K,100,Trapezoidal Shaped,8.0,1962.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,1500000000,1K,160,Irregular Shaped,6.0,2019.0,S,Other,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,120000000,1K,115,Rectangular Shaped,9.0,1980.0,RC,Shop,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,390000000,1K,75,Irregular Shaped,11.0,1984.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,220000000,1K,45,Irregular Shaped,7.0,1986.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,350000000,1K,60,Rectangular Shaped,6.1,1983.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,1600000000,1K,310,Rectangular Shaped,14.8,2003.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,480000000,1K,120,Irregular Shaped,8.2,1995.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,240000000,1K,95,Semi-square Shaped,8.5,1972.0,RC,Shop,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,330000000,1K,100,Semi-square Shaped,9.9,1982.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,120000000,1K,35,Semi-trapezoidal Shaped,5.0,1990.0,S,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,450000000,1K,110,Trapezoidal Shaped,11.7,1987.0,S,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,200000000,1K,70,Trapezoidal Shaped,5.2,1991.0,S,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,220000000,1K,115,Semi-square Shaped,11.0,1993.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,350000000,1K,105,Rectangular Shaped,7.7,1989.0,SRC,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,190000000,1K,55,Semi-rectangular Shaped,5.5,1980.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,300000000,1K,115,Irregular Shaped,9.5,1989.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,40000000,1K,40,Semi-square Shaped,6.5,1988.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,750000000,1K,200,Semi-trapezoidal Shaped,14.7,1988.0,SRC,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,230000000,1K,90,Rectangular Shaped,6.0,1986.0,SRC,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,170000000,1K,50,Irregular Shaped,6.0,1981.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,120000000,1K,95,Rectangular Shaped,10.5,1962.0,W,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,55000000,1K,60,Semi-rectangular Shaped,10.0,1970.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,310000000,1K,100,Rectangular Shaped,11.5,2019.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,610000000,1K,290,Semi-rectangular Shaped,12.7,1991.0,RC,Housing Complex,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,260000000,1K,75,Semi-rectangular Shaped,8.0,2014.0,S,Housing Complex,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,48000000,1K,50,Semi-shaped,7.5,1963.0,W,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,90000000,1K,50,Rectangular Shaped,6.0,1968.0,RC,House,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,330000000,1K,75,Semi-shaped,8.0,2014.0,S,Housing Complex,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,80000000,1K,55,Rectangular Shaped,6.0,1945.0,RC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,100000000,1K,55,Rectangular Shaped,6.0,1945.0,RC,Shop,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,280000000,1K,100,Irregular Shaped,9.5,1988.0,LS,Workshop,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,340000000,1K,80,Irregular Shaped,8.0,1984.0,SRC,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,970000000,1K,170,Semi-shaped,9.0,1986.0,SRC,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,1000000000,1K,260,Rectangular Shaped,12.0,1972.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,360000000,1K,180,Irregular Shaped,9.5,2000.0,RC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,62000000,1K,35,Semi-square Shaped,5.7,1994.0,S,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,1700000000,1K,155,Irregular Shaped,13.5,2017.0,S,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,240000000,1K,60,Rectangular Shaped,3.7,1961.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,280000000,1K,65,Semi-square Shaped,8.0,1999.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,230000000,1K,45,Semi-square Shaped,6.5,2016.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,160000000,1K,80,Semi-rectangular Shaped,5.0,1997.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,2900000000,1K,650,Semi-rectangular Shaped,18.5,1991.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,140000000,1K,75,Rectangular Shaped,8.0,1964.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,77000000,1K,75,Rectangular Shaped,8.0,1964.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,7.0,320000000,1K,210,Rectangular Shaped,20.3,1983.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,140000000,1K,50,Semi-rectangular Shaped,4.2,1984.0,RC,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,680000000,1K,190,Rectangular Shaped,10.5,1972.0,RC,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,150000000,1K,55,Rectangular Shaped,5.6,1989.0,S,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,480000000,1K,250,Semi-rectangular Shaped,11.6,1973.0,RC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,390000000,1K,500,Irregular Shaped,20.0,1964.0,RC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,310000000,1K,110,Rectangular Shaped,7.0,1980.0,RC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,400000000,1K,90,Rectangular Shaped,6.3,2003.0,S,Other,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,320000000,1K,90,Rectangular Shaped,6.0,2003.0,S,Other,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,390000000,1K,260,Semi-rectangular Shaped,7.0,1992.0,SRC,House,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,96000000,1K,50,Rectangular Shaped,3.7,1986.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,150000000,1K,75,Rectangular Shaped,6.5,1985.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,150000000,1K,65,Rectangular Shaped,6.1,1970.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,110000000,1K,50,Semi-trapezoidal Shaped,6.5,1988.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,7.0,520000000,1K,175,Semi-trapezoidal Shaped,13.3,2018.0,SRC,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,80000000,1K,125,Semi-trapezoidal Shaped,7.5,1988.0,W,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,330000000,1K,85,Rectangular Shaped,7.5,1972.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,240000000,1K,90,Rectangular Shaped,7.0,1988.0,S,Other,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,150000000,1K,90,Semi-shaped,13.0,1988.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,260000000,1K,90,Rectangular Shaped,8.0,1988.0,RC,Factory,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,8.0,500000000,1K,230,Irregular Shaped,12.0,1973.0,SRC,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,95000000,1K,60,Semi-trapezoidal Shaped,6.2,1974.0,RC,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,110000000,1K,65,Rectangular Shaped,5.2,1990.0,RC,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,2900000000,1K,170,Semi-rectangular Shaped,12.5,2016.0,S,Shop,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,75000000,1K,50,Semi-rectangular Shaped,4.5,1969.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,520000000,1K,155,Trapezoidal Shaped,8.0,1974.0,RC,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,650000000,1K,125,Rectangular Shaped,7.5,1989.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,670000000,1K,220,Irregular Shaped,10.0,1975.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,210000000,1K,75,Semi-rectangular Shaped,6.3,1983.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,760000000,1K,140,Irregular Shaped,5.6,1990.0,SRC,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,740000000,1K,135,Rectangular Shaped,6.8,1990.0,SRC,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,260000000,1K,75,Rectangular Shaped,9.0,1975.0,RC,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,750000000,1K,95,Rectangular Shaped,8.7,1992.0,SRC,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,49000000,1K,50,Rectangular Shaped,6.0,1987.0,S,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,200000000,1K,45,Rectangular Shaped,3.8,1976.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,1400000000,1K,380,Irregular Shaped,22.2,1982.0,SRC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,240000000,1K,170,Semi-rectangular Shaped,16.5,1967.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,940000000,1K,195,Irregular Shaped,10.5,1994.0,SRC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,200000000,1K,130,Semi-shaped,10.0,1985.0,SRC,House,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,1100000000,1K,410,Irregular Shaped,30.0,1993.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,340000000,1K,135,Rectangular Shaped,9.0,1986.0,SRC,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,2200000000,1K,650,Irregular Shaped,11.0,1973.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,130000000,1K,70,Semi-rectangular Shaped,4.5,1956.0,RC,Shop,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,110000000,1K,60,Semi-rectangular Shaped,5.5,1964.0,W,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,65000000,1K,45,Semi-trapezoidal Shaped,3.7,1985.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,210000000,1K,110,Irregular Shaped,4.7,1990.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,270000000,1K,135,Rectangular Shaped,9.1,1986.0,SRC,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,100000000,1K,55,Semi-rectangular Shaped,4.0,1970.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,98000000,1K,50,Rectangular Shaped,3.7,1975.0,RC,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,220000000,1K,70,Semi-rectangular Shaped,6.1,1988.0,RC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,3100000000,1K,360,Semi-rectangular Shaped,13.5,2018.0,S,Other,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,1100000000,1K,150,Semi-shaped,9.0,1982.0,S,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,100000000,1K,45,Rectangular Shaped,6.3,1985.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,90000000,1K,85,Semi-rectangular Shaped,6.1,1988.0,W,Shop,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,45000000,1K,35,Semi-rectangular Shaped,7.0,2004.0,S,Shop,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,68000000,1K,60,Rectangular Shaped,6.5,1969.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,2000000000,1K,380,Irregular Shaped,15.0,2006.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,280000000,1K,95,Irregular Shaped,6.8,1962.0,W,Shop,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,6200000000,1K,730,Semi-rectangular Shaped,25.0,2013.0,S,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,60000000,1K,80,Semi-rectangular Shaped,7.0,1954.0,RC,House,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,230000000,1K,110,Rectangular Shaped,10.0,1978.0,RC,House,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,340000000,1K,135,Semi-trapezoidal Shaped,9.0,1982.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,110000000,1K,65,Irregular Shaped,5.7,1974.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,29000000,1K,35,Semi-shaped,7.0,1974.0,W,House,No facing road,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,600000000,1K,190,Rectangular Shaped,10.0,1977.0,RC,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,750000000,1K,170,Semi-trapezoidal Shaped,9.0,1990.0,SRC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,880000000,1K,190,Semi-trapezoidal Shaped,11.3,1983.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,3900000000,1K,420,Irregular Shaped,11.0,2004.0,S,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,610000000,1K,210,Semi-shaped,10.0,1969.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,120000000,1K,50,Rectangular Shaped,7.2,2000.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,1000000000,1K,280,Semi-square Shaped,17.0,1990.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,130000000,1K,55,Rectangular Shaped,6.0,1978.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,480000000,1K,50,Rectangular Shaped,5.0,1971.0,RC,Shop,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,1300000000,1K,130,Semi-rectangular Shaped,8.5,1989.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,260000000,1K,85,Semi-rectangular Shaped,6.0,1979.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,58000000,1K,50,Rectangular Shaped,4.0,1986.0,SRC,Shop,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,36000000,1K,65,Semi-rectangular Shaped,8.0,1988.0,W,Shop,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,100000000,1K,40,Rectangular Shaped,3.0,1988.0,W,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,350000000,1K,95,Semi-rectangular Shaped,8.0,1972.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,3200000000,1K,590,Irregular Shaped,14.0,1988.0,SRC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,5100000000,1K,330,Semi-rectangular Shaped,15.0,2018.0,S,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,150000000,1K,50,Semi-rectangular Shaped,5.0,1988.0,W,Shop,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,1200000000,1K,260,Semi-shaped,9.5,1972.0,SRC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,2500000000,1K,560,Irregular Shaped,17.0,1996.0,SRC,Housing Complex,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,440000000,1K,165,Semi-rectangular Shaped,10.5,1990.0,SRC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,310000000,1K,80,Semi-trapezoidal Shaped,7.0,1986.0,SRC,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,390000000,1K,105,Irregular Shaped,10.6,1986.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,330000000,1K,105,Irregular Shaped,10.5,1986.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,200000000,1K,95,Rectangular Shaped,8.5,1975.0,RC,Office,West,Not yet
